"default","",00:00:00.000,0.0,00:00:01.130,1.13,00:00:01.130,1.13,"слушаю вас"
"default","",00:00:01.140,1.14,00:00:02.550,2.55,00:00:01.410,1.41,"машинист поезда №812"
"default","",00:00:02.560,2.56,00:00:04.670,4.67,00:00:02.110,2.11,"калашников"
"Эмоция","",00:00:00.000,0.0,00:00:01.130,1.13,00:00:01.130,1.13,"happy"
"Эмоция","",00:00:01.140,1.14,00:00:02.550,2.55,00:00:01.410,1.41,"neutral"
"Эмоция","",00:00:02.560,2.56,00:00:04.670,4.67,00:00:02.110,2.11,"neutral"
"Наличие речи","",00:00:00.000,0.0,00:00:00.630,0.63,00:00:00.630,0.63,"0"
"Наличие речи","",00:00:00.630,0.63,00:00:01.140,1.14,00:00:00.510,0.51,"1"
"Наличие речи","",00:00:01.160,1.16,00:00:02.560,2.56,00:00:01.400,1.4,"1"
"Наличие речи","",00:00:02.570,2.57,00:00:03.700,3.7,00:00:01.130,1.13,"1"
"Наличие речи","",00:00:03.710,3.71,00:00:04.670,4.67,00:00:00.960,0.96,"0"
