"default","",00:00:00.000,0.0,00:00:00.640,0.64,00:00:00.640,0.64,"понятно"
"default","",00:00:00.640,0.64,00:00:01.920,1.92,00:00:01.280,1.28,"принимайте на 8 путь"
"default","",00:00:01.930,1.93,00:00:03.820,3.82,00:00:01.890,1.89,"выходной светофор запрещающий"
"default","",00:00:03.840,3.84,00:00:05.965,5.965,00:00:02.125,2.125,"машинист филатов"
"Эмоция","",00:00:00.000,0.0,00:00:00.640,0.64,00:00:00.640,0.64,"neutral"
"Эмоция","",00:00:00.640,0.64,00:00:01.920,1.92,00:00:01.280,1.28,"neutral"
"Эмоция","",00:00:01.930,1.93,00:00:03.820,3.82,00:00:01.890,1.89,"neutral"
"Эмоция","",00:00:03.840,3.84,00:00:05.965,5.965,00:00:02.125,2.125,"neutral"
"Наличие речи","",00:00:00.000,0.0,00:00:00.420,0.42,00:00:00.420,0.42,"0"
"Наличие речи","",00:00:00.420,0.42,00:00:00.620,0.62,00:00:00.200,0.2,"1"
"Наличие речи","",00:00:00.630,0.63,00:00:01.040,1.04,00:00:00.410,0.41,"0"
"Наличие речи","",00:00:01.050,1.05,00:00:01.940,1.94,00:00:00.890,0.89,"1"
"Наличие речи","",00:00:01.960,1.96,00:00:03.840,3.84,00:00:01.880,1.88,"1"
"Наличие речи","",00:00:03.850,3.85,00:00:04.020,4.02,00:00:00.170,0.17,"0"
"Наличие речи","",00:00:04.020,4.02,00:00:05.400,5.4,00:00:01.380,1.38,"1"
"Наличие речи","",00:00:05.410,5.41,00:00:05.965,5.965,00:00:00.555,0.555,"0"
