"default","",00:00:00.000,0.0,00:00:03.890,3.89,00:00:03.890,3.89,"понятно пропускаетесь по 1 главному на проход"
"default","",00:00:03.890,3.89,00:00:05.560,5.56,00:00:01.670,1.67,"входной выходной открытые"
"default","",00:00:05.560,5.56,00:00:08.468,8.468,00:00:02.908,2.908,"диспетчер гадза"
"Эмоция","",00:00:00.000,0.0,00:00:03.880,3.88,00:00:03.880,3.88,"neutral"
"Эмоция","",00:00:03.880,3.88,00:00:05.550,5.55,00:00:01.670,1.67,"neutral"
"Эмоция","",00:00:05.550,5.55,00:00:08.468,8.468,00:00:02.918,2.918,"neutral"
"Наличие речи","",00:00:00.000,0.0,00:00:01.260,1.26,00:00:01.260,1.26,"0"
"Наличие речи","",00:00:01.270,1.27,00:00:03.900,3.9,00:00:02.630,2.63,"1"
"Наличие речи","",00:00:03.900,3.9,00:00:04.250,4.25,00:00:00.350,0.35,"0"
"Наличие речи","",00:00:04.250,4.25,00:00:05.560,5.56,00:00:01.310,1.31,"1"
"Наличие речи","",00:00:05.560,5.56,00:00:06.230,6.23,00:00:00.670,0.67,"1"
"Наличие речи","",00:00:06.250,6.25,00:00:06.740,6.74,00:00:00.490,0.49,"0"
"Наличие речи","",00:00:06.740,6.74,00:00:07.330,7.33,00:00:00.590,0.59,"1"
"Наличие речи","",00:00:07.330,7.33,00:00:08.468,8.468,00:00:01.138,1.138,"0"
