"default","",00:00:00.000,0.0,00:00:02.380,2.38,00:00:02.380,2.38,"понятно разрешение получил"
"default","",00:00:02.400,2.4,00:00:04.010,4.01,00:00:01.610,1.61,"разрешаете отправится"
"default","",00:00:04.010,4.01,00:00:05.320,5.32,00:00:01.310,1.31,"маршрут готов"
"default","",00:00:05.340,5.34,00:00:07.964,7.964,00:00:02.624,2.624,"машинист павлов"
"Эмоция","",00:00:00.000,0.0,00:00:02.380,2.38,00:00:02.380,2.38,"neutral"
"Эмоция","",00:00:02.400,2.4,00:00:04.010,4.01,00:00:01.610,1.61,"neutral"
"Эмоция","",00:00:04.010,4.01,00:00:05.320,5.32,00:00:01.310,1.31,"neutral"
"Эмоция","",00:00:05.340,5.34,00:00:07.964,7.964,00:00:02.624,2.624,"neutral"
"Наличие речи","",00:00:00.000,0.0,00:00:00.310,0.31,00:00:00.310,0.31,"0"
"Наличие речи","",00:00:00.320,0.32,00:00:02.400,2.4,00:00:02.080,2.08,"1"
"Наличие речи","",00:00:02.400,2.4,00:00:04.010,4.01,00:00:01.610,1.61,"1"
"Наличие речи","",00:00:04.010,4.01,00:00:05.320,5.32,00:00:01.310,1.31,"1"
"Наличие речи","",00:00:05.330,5.33,00:00:06.000,6.0,00:00:00.670,0.67,"0"
"Наличие речи","",00:00:06.000,6.0,00:00:06.940,6.94,00:00:00.940,0.94,"1"
"Наличие речи","",00:00:06.940,6.94,00:00:07.964,7.964,00:00:01.024,1.024,"0"
