"default","",00:00:00.000,0.0,00:00:01.120,1.12,00:00:01.120,1.12,"понятно"
"default","",00:00:01.120,1.12,00:00:02.360,2.36,00:00:01.240,1.24,"по 4 на проход"
"default","",00:00:02.360,2.36,00:00:04.500,4.5,00:00:02.140,2.14,"входной и выходной разрешающий"
"default","",00:00:04.500,4.5,00:00:07.527,7.527,00:00:03.027,3.027,"машинист ельцин"
"Эмоции","",00:00:00.000,0.0,00:00:01.120,1.12,00:00:01.120,1.12,"neutral"
"Эмоции","",00:00:01.120,1.12,00:00:02.360,2.36,00:00:01.240,1.24,"neutral"
"Эмоции","",00:00:02.360,2.36,00:00:04.500,4.5,00:00:02.140,2.14,"neutral"
"Эмоции","",00:00:04.500,4.5,00:00:07.527,7.527,00:00:03.027,3.027,"neutral"
"Наличие речи","",00:00:00.000,0.0,00:00:00.700,0.7,00:00:00.700,0.7,"0"
"Наличие речи","",00:00:00.700,0.7,00:00:01.120,1.12,00:00:00.420,0.42,"1"
"Наличие речи","",00:00:01.120,1.12,00:00:02.360,2.36,00:00:01.240,1.24,"1"
"Наличие речи","",00:00:02.370,2.37,00:00:02.840,2.84,00:00:00.470,0.47,"0"
"Наличие речи","",00:00:02.840,2.84,00:00:04.110,4.11,00:00:01.270,1.27,"1"
"Наличие речи","",00:00:04.110,4.11,00:00:04.500,4.5,00:00:00.390,0.39,"0"
"Наличие речи","",00:00:04.510,4.51,00:00:04.950,4.95,00:00:00.440,0.44,"0"
"Наличие речи","",00:00:04.960,4.96,00:00:06.380,6.38,00:00:01.420,1.42,"1"
"Наличие речи","",00:00:06.380,6.38,00:00:07.527,7.527,00:00:01.147,1.147,"0"
